Kelas 1,Kelas 2,Kelas 3,Kelas 4,Sektor
,,,8532,PENDIDIKAN TINGGI SWASTA
,,,8533,PENDIDIKAN TINGGI KEAGAMAAN
,,,8534,PENDIDIKAN PESANTREN TINGGI (MA�HAD ALY)
,,854,,PENDIDIKAN LAINNYA
,,,8541,PENDIDIKAN OLAHRAGA DAN REKREASI
,,,8542,PENDIDIKAN KEBUDAYAAN
,,,8543,PENDIDIKAN LAINNYA PEMERINTAH
,,,8544,ATUAN PENDIDIKAN KERJASAMA PENDIDIKAN NONFORMAL
,,,8545,PENDIDIKAN PESANTREN DAN PENDIDIKAN KEAGAMAAN LAINNYA
,,,8549,PENDIDIKAN LAINNYA YTDL
,,855,,KEGIATAN PENUNJANG PENDIDIKAN
,,,8550,KEGIATAN PENUNJANG PENDIDIKAN
Q,,,,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL
,86,,,AKTIVITAS KESEHATAN MANUSIA
,,861,,AKTIVITAS RUMAH SAKIT
,,,8610,AKTIVITAS RUMAH SAKIT
,,862,,AKTIVITAS PRAKTIK DOKTER DAN DOKTER GIGI
,,,8620,AKTIVITAS PRAKTIK DOKTER DAN DOKTER GIGI
,,869,,AKTIVITAS PELAYANAN KESEHATAN MANUSIA LAINNYA
,,,8690,AKTIVITAS PELAYANAN KESEHATAN MANUSIA LAINNYA
,87,,,AKTIVITAS SOSIAL DI DALAM PANTI
,,871,,AKTIVITAS SOSIAL DI DALAM PANTI UNTUK PERAWATAN DAN PEMULIHAN KESEHATAN
,,,8710,AKTIVITAS SOSIAL DI DALAM PANTI UNTUK PERAWATAN DAN PEMULIHAN KESEHATAN
,,872,,AKTIVITAS SOSIAL DI DALAM PANTI UNTUK KETERBELAKANGAN MENTAL
,,,8720,AKTIVITAS SOSIAL DI DALAM PANTI UNTUK KETERBELAKANGAN MENTAL
,,873,,AKTIVITAS SOSIAL DI DALAM PANTI UNTUK LANJUT USIA DAN PENYANDANG DISABILITAS
,,,8730,AKTIVITAS SOSIAL DI DALAM PANTI UNTUK LANJUT USIA DAN PENYANDANG DISABILITAS
,,879,,AKTIVITAS SOSIAL DI DALAM PANTI LAINNYA YTDL
,,,8790,AKTIVITAS SOSIAL DI DALAM PANTI LAINNYA YTDL
,88,,,AKTIVITAS SOSIAL TANPA AKOMODASI
,,881,,AKTIVITAS SOSIAL TANPA AKOMODASI UNTUK LANJUT USIA DAN PENYANDANG DISABILITAS
,,,8810,AKTIVITAS SOSIAL TANPA AKOMODASI UNTUK LANJUT USIA DAN PENYANDANG DISABILITAS
,,889,,AKTIVITAS SOSIAL TANPA AKOMODASI LAINNYA
,,,8891,AKTIVITAS SOSIAL PENGUMPULAN DANA
,,,8899,AKTIVITAS SOSIAL TANPA AKOMODASI LAINNYA YTDL
R,,,,KESENIAN
,90,,,AKTIVITAS HIBURAN
,,900,,AKTIVITAS HIBURAN
,,,9001,AKTIVITAS SENI PERTUNJUKAN
,,,9002,AKTIVITAS PEKERJA KREATIF DAN PEKERJA SENI
,,,9003,AKTIVITAS IMPRESARIAT BIDANG SENI DAN FESTIVAL SENI
,,,9004,AKTIVITAS OPERASIONAL FASILITAS SENI
,,,9009,AKTIVITAS HIBURAN
,91,,,PERPUSTAKAAN
,,910,,PERPUSTAKAAN
,,,9101,PERPUSTAKAAN DAN ARSIP
,,,9102,MUSEUM DAN OPERASIONAL BANGUNAN DAN SITUS BERSEJARAH
,,,9103,AKTIVITAS KEBUN BINATANG
,92,,,AKTIVITAS PERJUDIAN DAN PERTARUHAN
,,920,,AKTIVITAS PERJUDIAN DAN PERTARUHAN
,,,9200,AKTIVITAS PERJUDIAN DAN PERTARUHAN
,93,,,AKTIVITAS OLAHRAGA DAN REKREASI LAINNYA
,,931,,AKTIVITAS OLAHRAGA
,,,9311,PENGELOLAAN FASILITAS OLAHRAGA
,,,9312,AKTIVITAS KLUB OLAHRAGA
,,,9319,AKTIVITAS LAINNYA YANG BERKAITAN DENGAN OLAHRAGA
,,932,,AKTIVITAS REKREASI LAINNYA
,,,9321,AKTIVITAS TAMAN BERTEMA ATAU TAMAN HIBURAN
,,,9322,DAYA TARIK WISATA ALAM
,,,9323,DAYA TARIK WISATA BUATAN/BINAAN MANUSIA
,,,9324,WISATA TIRTA
,,,9329,AKTIVITAS HIBURAN DAN REKREASI LAINNYA YTDL
S,,,,AKTIVITAS JASA LAINNYA
,94,,,AKTIVITAS KEANGGOTAAN ORGANISASI
,,941,,AKTIVITAS ORGANISASI BISNIS
,,,9411,AKTIVITAS ORGANISASI BISNIS DAN PENGUSAHA
,,,9412,AKTIVITAS ORGANISASI PROFESI
,,942,,AKTIVITAS ORGANISASI BURUH
,,,9420,AKTIVITAS ORGANISASI BURUH
,,949,,AKTIVITAS ORGANISASI LAINNYA
,,,9491,AKTIVITAS ORGANISASI KEAGAMAAN
,,,9492,AKTIVITAS ORGANISASI POLITIK
,,,9499,AKTIVITAS ORGANISASI KEANGGOTAAN LAINNYA YTDL
,95,,,REPARASI KOMPUTER DAN BARANG KEPERLUAN PRIBADI DAN PERLENGKAPAN RUMAH TANGGA
,,951,,REPARASI KOMPUTER DAN ALAT KOMUNIKASI
,,,9511,REPARASI KOMPUTER DAN PERALATAN SEJENISNYA
,,,9512,REPARASI PERALATAN KOMUNIKASI
,,952,,REPARASI BARANG KEPERLUAN PRIBADI DAN PERLENGKAPAN RUMAH TANGGA
,,,9521,REPARASI ALAT-ALAT ELEKTRONIK KONSUMEN
,,,9522,REPARASI PERALATAN RUMAH TANGGA DAN PERALATAN RUMAH DAN KEBUN
,,,9523,REPARASI ALAS KAKI DAN BARANG DARI KULIT
,,,9524,REPARASI FURNITUR DAN PERLENGKAPAN RUMAH
,,,9529,REPARASI BARANG KEPERLUAN PRIBADI DAN PERLENGKAPAN RUMAH TANGGA LAINNYA
,96,,,AKTIVITAS JASA PERORANGAN LAINNYA
,,961,,AKTIVITAS JASA PERORANGAN UNTUK KEBUGARAN
,,,9611,AKTIVITAS PANGKAS RAMBUT DAN SALON KECANTIKAN
,,,9612,AKTIVITAS KEBUGARAN
,,962,,AKTIVITAS PENATU
,,,9620,AKTIVITAS PENATU
,,969,,AKTIVITAS JASA PERORANGAN LAINNYA YTDL
,,,9691,AKTIVITAS PEMAKAMAN DAN KEGIATAN YBDI
,,,9699,AKTIVITAS JASA PERORANGAN LAINNYA YTDL
T,,,,AKTIVITAS RUMAH TANGGA SEBAGAI PEMBERI KERJA; AKTIVITAS YANG MENGHASILKAN BARANG DAN JASA OLEH RUMAH TANGGA YANG DIGUNAKAN UNTUK MEMENUHI KEBUTUHAN SENDIRI
,97,,,AKTIVITAS RUMAH TANGGA SEBAGAI PEMBERI KERJA DARI PERSONIL DOMESTIK
,,970,,AKTIVITAS RUMAH TANGGA SEBAGAI PEMBERI KERJA DARI PERSONIL DOMESTIK
,,,9700,AKTIVITAS RUMAH TANGGA SEBAGAI PEMBERI KERJA DARI PERSONIL DOMESTIK
,98,,,AKTIVITAS YANG MENGHASILKAN BARANG DAN JASA OLEH RUMAH TANGGA YANG DIGUNAKAN UNTUK MEMENUHI KEBUTUHAN SENDIRI
,,981,,AKTIVITAS YANG MENGHASILKAN BARANG OLEH RUMAH TANGGA YANG DIGUNAKAN UNTUK MEMENUHI KEBUTUHAN SENDIRI
,,,9810,AKTIVITAS YANG MENGHASILKAN BARANG OLEH RUMAH TANGGA YANG DIGUNAKAN UNTUK MEMENUHI KEBUTUHAN SENDIRI
,,982,,AKTIVITAS YANG MENGHASILKAN JASA OLEH RUMAH TANGGA YANG DIGUNAKAN UNTUK MEMENUHI KEBUTUHAN SENDIRI
,,,9820,AKTIVITAS YANG MENGHASILKAN JASA OLEH RUMAH TANGGA YANG DIGUNAKAN UNTUK MEMENUHI KEBUTUHAN SENDIRI
U,,,,AKTIVITAS BADAN INTERNASIONAL DAN BADAN EKSTRA INTERNASIONAL LAINNYA
,99,,,AKTIVITAS BADAN INTERNASIONAL DAN BADAN EKSTRA INTERNASIONAL LAINNYA
,,990,,AKTIVITAS BADAN INTERNASIONAL DAN BADAN EKSTRA INTERNASIONAL LAINNYA
,,,9900,AKTIVITAS BADAN INTERNASIONAL DAN BADAN EKSTRA INTERNASIONAL LAINNYA
