Kelas 1,Kelas 2,Kelas 3,Kelas 4,Sektor
,,,910,AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM
,,99,,AKTIVITAS PENUNJANG PERTAMBANGAN DAN PENGGALIAN LAINNYA
,,,990,AKTIVITAS PENUNJANG PERTAMBANGAN DAN PENGGALIAN LAINNYA
C,,,,INDUSTRI PENGOLAHAN
,10,,,INDUSTRI MAKANAN
,,101,,INDUSTRI PENGOLAHAN DAN PENGAWETAN DAGING
,,,1011,KEGIATAN RUMAH POTONG DAN PENGEPAKAN DAGING BUKAN UNGGAS
,,,1012,KEGIATAN RUMAH POTONG DAN PENGEPAKAN DAGING UNGGAS
,,,1013,INDUSTRI PENGOLAHAN DAN PENGAWETAN PRODUK DAGING DAN DAGING UNGGAS
,,102,,INDUSTRI PENGOLAHAN DAN PENGAWETAN IKAN DAN BIOTA AIR
,,,1021,INDUSTRI PENGOLAHAN DAN PENGAWETAN IKAN DAN PRODUK IKAN
,,,1022,INDUSTRI PENGOLAHAN DAN PENGAWETAN IKAN DAN BIOTA AIR DALAM KALENG
,,,1029,INDUSTRI PENGOLAHAN DAN PENGAWETAN BIOTA AIR LAINNYA
,,103,,INDUSTRI PENGOLAHAN DAN PENGAWETAN BUAH-BUAHAN DAN SAYURAN
,,,1031,INDUSTRI PENGOLAHAN DAN PENGAWETAN BUAH-BUAHAN DAN SAYURAN DENGAN CARA DIASINKAN
,,,1032,INDUSTRI PENGOLAHAN DAN PENGAWETAN BUAH-BUAHAN DAN SAYURAN DALAM KALENG
,,,1033,INDUSTRI PENGOLAHAN SARI BUAH DAN SAYURAN
,,,1039,INDUSTRI PENGOLAHAN DAN PENGAWETAN LAINNYA BUAH-BUAHAN DAN SAYURAN
,,104,,INDUSTRI MINYAK DAN LEMAK NABATI DAN HEWANI
,,,1041,INDUSTRI MINYAK DAN LEMAK NABATI DAN HEWANI (BUKAN KELAPA DAN KELAPA SAWIT)
,,,1042,INDUSTRI KOPRA
,,,1043,INDUSTRI MINYAK MENTAH/MURNI KELAPA SAWIT (CRUDE PALM OIL) DAN MINYAK GORENG KELAPA SAWIT
,,,1049,INDUSTRI MINYAK MENTAH DAN LEMAK NABATI DAN HEWANI LAINNYA
,,105,,INDUSTRI PENGOLAHAN SUSU
,,,1051,INDUSTRI PENGOLAHAN SUSU SEGAR DAN KRIM
,,,1052,INDUSTRI PENGOLAHAN SUSU BUBUK DAN SUSU KENTAL
,,,1053,INDUSTRI PENGOLAHAN ES KRIM DAN SEJENISNYA
,,,1059,INDUSTRI PENGOLAHAN PRODUK DARI SUSU LAINNYA
,,106,,INDUSTRI PENGGILINGAN PADI-PADIAN
,,,1061,INDUSTRI PENGGILINGAN SERELIA DAN BIJI-BIJIAN LAINNYA (BUKAN BERAS DAN JAGUNG)
,,,1062,INDUSTRI PATI DAN PRODUK PATI (BUKAN BERAS DAN JAGUNG)
,,,1063,INDUSTRI PENGGILINGAN BERAS DAN JAGUNG DAN INDUSTRI TEPUNG BERAS DAN JAGUNG
,,107,,INDUSTRI MAKANAN LAINNYA
,,,1071,INDUSTRI PRODUK ROTI DAN KUE
,,,1072,INDUSTRI GULA
,,,1073,INDUSTRI KAKAO
,,,1074,INDUSTRI MAKARONI
,,,1075,INDUSTRI MAKANAN DAN MASAKAN OLAHAN
,,,1076,INDUSTRI PENGOLAHAN KOPI
,,,1077,INDUSTRI BUMBU-BUMBUAN DAN PRODUK MASAK LAINNYA
,,,1079,INDUSTRI PRODUK MAKANAN LAINNYA
,,108,,INDUSTRI MAKANAN HEWAN
,,,1080,INDUSTRI MAKANAN HEWAN
,11,,,INDUSTRI MINUMAN
,,110,,INDUSTRI MINUMAN
,,,1101,INDUSTRI MINUMAN BERALKOHOL HASIL DESTILASI
,,,1102,INDUSTRI MINUMAN BERALKOHOL HASIL FERMENTASI ANGGUR DAN HASIL PERTANIAN LAINNYA
,,,1103,INDUSTRI MINUMAN BERALKOHOL HASIL FERMENTASI MALT DAN INDUSTRI MALT
,,,1104,INDUSTRI MINUMAN RINGAN
,,,1105,INDUSTRI AIR KEMASAN DAN AIR MINUM ISI ULANG
,,,1109,INDUSTRI MINUMAN LAINNYA
,12,,,INDUSTRI PENGOLAHAN TEMBAKAU
,,120,,INDUSTRI PENGOLAHAN TEMBAKAU
,,,1201,INDUSTRI ROKOK DAN PRODUK TEMBAKAU LAINNYA
,,,1209,INDUSTRI PENGOLAHAN TEMBAKAU LAINNYA
,13,,,INDUSTRI TEKSTIL
,,131,,INDUSTRI PEMINTALAN
,,,1311,INDUSTRI PERSIAPAN DAN PEMINTALAN SERAT TEKSTIL
,,,1312,INDUSTRI PERTENUNAN TEKSTIL
,,,1313,INDUSTRI PENYEMPURNAAN TEKSTIL
,,139,,INDUSTRI TEKSTIL LAINNYA
,,,1391,INDUSTRI KAIN RAJUTAN DAN SULAMAN
,,,1392,INDUSTRI PEMBUATAN BARANG TEKSTIL
,,,1393,INDUSTRI KARPET DAN PERMADANI
,,,1394,INDUSTRI TALI DAN BARANG DARI TALI
,,,1399,INDUSTRI TEKSTIL LAINNYA YTDL
,14,,,INDUSTRI PAKAIAN JADI
,,141,,INDUSTRI PAKAIAN JADI DAN PERLENGKAPANNYA
,,,1411,INDUSTRI PAKAIAN JADI (BUKAN PENJAHITAN DAN PEMBUATAN PAKAIAN)
,,,1412,PENJAHITAN DAN PEMBUATAN PAKAIAN SESUAI PESANAN
,,,1413,INDUSTRI PERLENGKAPAN PAKAIAN YANG UTAMANYA TERBUAT DARI TEKSTIL
,,142,,INDUSTRI PAKAIAN JADI DAN BARANG DARI KULIT BERBULU
,,,1420,INDUSTRI PAKAIAN JADI DAN BARANG DARI KULIT BERBULU
,,143,,INDUSTRI PAKAIAN JADI RAJUTAN DAN SULAMAN/BORDIR
,,,1430,INDUSTRI PAKAIAN JADI RAJUTAN DAN SULAMAN/BORDIR
,15,,,INDUSTRI KULIT
,,151,,INDUSTRI KULIT DAN BARANG DARI KULIT
,,,1511,INDUSTRI KULIT DAN KULIT KOMPOSISI
,,,1512,INDUSTRI BARANG DARI KULIT DAN KULIT KOMPOSISI
,,152,,INDUSTRI ALAS KAKI
,,,1520,INDUSTRI ALAS KAKI
,16,,,INDUSTRI KAYU
,,161,,INDUSTRI PENGGERGAJIAN DAN PENGAWETAN KAYU
,,,1610,INDUSTRI PENGGERGAJIAN DAN PENGAWETAN KAYU
,,162,,INDUSTRI BARANG DARI KAYU; INDUSTRI BARANG DARI GABUS DAN BARANG ANYAMAN DARI JERAMI
,,,1621,INDUSTRI VENEER
,,,1622,INDUSTRI BARANG BANGUNAN DARI KAYU
,,,1623,INDUSTRI WADAH DARI KAYU
,,,1629,INDUSTRI BARANG LAINNYA DARI KAYU; INDUSTRI BARANG DARI GABUS DAN BARANG ANYAMAN DARI JERAMI
,17,,,INDUSTRI KERTAS DAN BARANG DARI KERTAS
,,170,,INDUSTRI KERTAS DAN BARANG DARI KERTAS
,,,1701,INDUSTRI BUBUR KERTAS
,,,1702,INDUSTRI KERTAS DAN PAPAN KERTAS BERGELOMBANG DAN WADAH DARI KERTAS DAN PAPAN KERTAS
,,,1709,INDUSTRI BARANG DARI KERTAS DAN PAPAN KERTAS LAINNYA
,18,,,INDUSTRI PENCETAKAN DAN REPRODUKSI MEDIA REKAMAN
,,181,,INDUSTRI PENCETAKAN DAN KEGIATAN YBDI
,,,1811,INDUSTRI PENCETAKAN
,,,1812,KEGIATAN JASA PENUNJANG PENCETAKAN
,,182,,REPRODUKSI MEDIA REKAMAN
,,,1820,REPRODUKSI MEDIA REKAMAN
,19,,,INDUSTRI PRODUK DARI BATU BARA DAN PENGILANGAN MINYAK BUMI
,,191,,INDUSTRI PRODUK DARI BATU BARA
,,,1910,INDUSTRI PRODUK DARI BATU BARA
,,192,,INDUSTRI PRODUK PENGILANGAN MINYAK BUMI
,,,1921,INDUSTRI BAHAN BAKAR DAN MINYAK PELUMAS HASIL PENGILANGAN MINYAK BUMI
,,,1929,INDUSTRI PRODUK PENGILANGAN MINYAK BUMI LAINNYA
,20,,,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA
,,201,,INDUSTRI BAHAN KIMIA
,,,2011,INDUSTRI KIMIA DASAR
,,,2012,INDUSTRI PUPUK DAN BAHAN SENYAWA NITROGEN
,,,2013,INDUSTRI PLASTIK DAN KARET BUATAN DALAM BENTUK DASAR
,,202,,INDUSTRI BARANG KIMIA LAINNYA
,,,2021,INDUSTRI PESTISIDA DAN PRODUK AGROKIMIA LAINNYA
,,,2022,INDUSTRI CAT DAN TINTA CETAK
,,,2023,INDUSTRI SABUN DAN DETERJEN
,,,2029,INDUSTRI BARANG KIMIA LAINNYA YTDL
,,203,,INDUSTRI SERAT BUATAN
,,,2030,INDUSTRI SERAT BUATAN
,21,,,INDUSTRI FARMASI
,,210,,INDUSTRI FARMASI
,,,2101,INDUSTRI FARMASI DAN PRODUK OBAT KIMIA
,,,2102,INDUSTRI OBAT TRADISIONAL
,22,,,INDUSTRI KARET
,,221,,INDUSTRI KARET DAN BARANG DARI KARET
,,,2211,INDUSTRI BAN DAN VULKANISIR BAN
,,,2212,INDUSTRI PENGASAPAN
,,,2219,INDUSTRI BARANG DARI KARET LAINNYA
,,222,,INDUSTRI BARANG DARI PLASTIK
,,,2221,INDUSTRI BARANG DARI PLASTIK UNTUK BANGUNAN
,,,2222,INDUSTRI BARANG DARI PLASTIK UNTUK PENGEMASAN
,,,2223,INDUSTRI PIPA PLASTIK DAN PERLENGKAPANNYA
,,,2229,INDUSTRI BARANG DARI PLASTIK LAINNYA
,23,,,INDUSTRI BARANG GALIAN BUKAN LOGAM
,,231,,INDUSTRI KACA DAN BARANG DARI KACA
,,,2311,INDUSTRI KACA
,,,2312,INDUSTRI BARANG DARI KACA
,,239,,INDUSTRI BARANG GALIAN BUKAN LOGAM LAINNYA
,,,2391,INDUSTRI BARANG REFRAKTORI (TAHAN API)
,,,2392,INDUSTRI BAHAN BANGUNAN DARI TANAH LIAT/KERAMIK
,,,2393,INDUSTRI BARANG TANAH LIAT/KERAMIK DAN PORSELEN BUKAN BAHAN BANGUNAN
,,,2394,INDUSTRI SEMEN
,,,2395,INDUSTRI BARANG DARI SEMEN
,,,2396,INDUSTRI BARANG DARI BATU
,,,2399,INDUSTRI BARANG GALIAN BUKAN LOGAM LAINNYA YTDL
,24,,,INDUSTRI LOGAM DASAR
,,241,,INDUSTRI LOGAM DASAR BESI DAN BAJA
,,,2410,INDUSTRI LOGAM DASAR BESI DAN BAJA
,,242,,INDUSTRI LOGAM DASAR MULIA DAN LOGAM DASAR BUKAN BESI LAINNYA
,,,2420,INDUSTRI LOGAM DASAR MULIA DAN LOGAM DASAR BUKAN BESI LAINNYA
,,243,,INDUSTRI PENGECORAN LOGAM
,,,2431,INDUSTRI PENGECORAN BESI DAN BAJA
,,,2432,INDUSTRI PENGECORAN LOGAM BUKAN BESI DAN BAJA
,25,,,INDUSTRI BARANG LOGAM
,,251,,INDUSTRI BARANG LOGAM SIAP PASANG UNTUK BANGUNAN
,,,2511,INDUSTRI BARANG LOGAM SIAP PASANG UNTUK BANGUNAN
,,,2512,INDUSTRI TANGKI
,,,2513,INDUSTRI GENERATOR UAP
,,252,,INDUSTRI SENJATA DAN AMUNISI
,,,2520,INDUSTRI SENJATA DAN AMUNISI
,,259,,INDUSTRI BARANG LOGAM LAINNYA DAN JASA PEMBUATAN BARANG LOGAM
,,,2591,INDUSTRI PENEMPAAN
,,,2592,JASA INDUSTRI UNTUK BERBAGAI PENGERJAAN KHUSUS LOGAM DAN BARANG DARI LOGAM
,,,2593,INDUSTRI ALAT POTONG
,,,2594,INDUSTRI EMBER
,,,2595,INDUSTRI BARANG DARI KAWAT DAN PAKU
,,,2599,INDUSTRI BARANG LOGAM LAINNYA YTDL
,26,,,INDUSTRI KOMPUTER
,,261,,INDUSTRI KOMPONEN DAN PAPAN ELEKTRONIK
,,,2611,INDUSTRI TABUNG ELEKTRON DAN KONEKTOR ELEKTRONIK
,,,2612,INDUSTRI SEMI KONDUKTOR DAN KOMPONEN ELEKTRONIK LAINNYA
,,262,,INDUSTRI KOMPUTER DAN PERLENGKAPANNYA
,,,2621,INDUSTRI KOMPUTER DAN/ATAU PERAKITAN KOMPUTER
,,,2622,INDUSTRI PERLENGKAPAN KOMPUTER
,,263,,INDUSTRI PERALATAN KOMUNIKASI
,,,2631,INDUSTRI PERALATAN TELEPON DAN FAKSIMILI
,,,2632,INDUSTRI PERALATAN KOMUNIKASI TANPA KABEL (WIRELESS)
,,,2639,INDUSTRI PERALATAN KOMUNIKASI LAINNYA
,,264,,INDUSTRI PERALATAN AUDIO DAN VIDEO ELEKTRONIK
,,,2641,INDUSTRI TELEVISI DAN/ATAU PERAKITAN TELEVISI
,,,2642,INDUSTRI PERALATAN PEREKAM
,,,2649,INDUSTRI PERALATAN AUDIO DAN VIDEO ELEKTRONIK LAINNYA
,,265,,INDUSTRI ALAT UKUR
,,,2651,INDUSTRI ALAT UKUR
,,,2652,INDUSTRI ALAT UKUR WAKTU
,,266,,INDUSTRI PERALATAN IRADIASI
,,,2660,INDUSTRI PERALATAN IRADIASI
,,267,,INDUSTRI PERALATAN FOTOGRAFI DAN INSTRUMEN OPTIK BUKAN KACA MATA
,,,2671,INDUSTRI PERALATAN FOTOGRAFI
,,,2679,INDUSTRI PERALATAN FOTOGRAFI DAN INSTRUMEN OPTIK LAINNYA
,,268,,INDUSTRI MEDIA MAGNETIK DAN MEDIA OPTIK
,,,2680,INDUSTRI MEDIA MAGNETIK DAN MEDIA OPTIK
,27,,,INDUSTRI PERALATAN LISTRIK
,,271,,INDUSTRI MOTOR LISTRIK
,,,2711,INDUSTRI MOTOR LISTRIK
,,,2712,INDUSTRI PERALATAN PENGONTROL DAN PENDISTRIBUSIAN LISTRIK
,,272,,INDUSTRI BATU BATERAI DAN AKUMULATOR LISTRIK
,,,2720,INDUSTRI BATU BATERAI DAN AKUMULATOR LISTRIK
,,273,,INDUSTRI KABEL DAN PERLENGKAPANNYA
,,,2731,INDUSTRI KABEL SERAT OPTIK
,,,2732,INDUSTRI KABEL LISTRIK DAN ELEKTRONIK LAINNYA
,,,2733,INDUSTRI PERLENGKAPAN KABEL
,,274,,INDUSTRI PERALATAN PENERANGAN LISTRIK (TERMASUK PERALATAN PENERANGAN BUKAN LISTRIK)
,,,2740,INDUSTRI PERALATAN PENERANGAN LISTRIK (TERMASUK PERALATAN PENERANGAN BUKAN LISTRIK)
,,275,,INDUSTRI PERALATAN RUMAH TANGGA
,,,2751,INDUSTRI PERALATAN LISTRIK RUMAH TANGGA
,,,2752,INDUSTRI PERALATAN ELEKTROTERMAL RUMAH TANGGA
,,,2753,INDUSTRI PERALATAN PEMANAS DAN MASAK BUKAN LISTRIK RUMAH TANGGA
,,279,,INDUSTRI PERALATAN LISTRIK LAINNYA
,,,2790,INDUSTRI PERALATAN LISTRIK LAINNYA
,28,,,INDUSTRI MESIN DAN PERLENGKAPAN YTDL
,,281,,INDUSTRI MESIN UNTUK KEPERLUAN UMUM
,,,2811,INDUSTRI MESIN DAN TURBIN
,,,2812,INDUSTRI PERALATAN TENAGA ZAT CAIR DAN GAS
,,,2813,NDUSTRI POMPA LAINNYA
,,,2814,INDUSTRI BEARING
,,,2815,INDUSTRI OVEN
,,,2816,INDUSTRI ALAT PENGANGKAT DAN PEMINDAH
,,,2817,INDUSTRI MESIN DAN PERALATAN KANTOR (BUKAN KOMPUTER DAN PERALATAN PERLENGKAPAN)
,,,2818,INDUSTRI PERKAKAS TANGAN YANG DIGERAKKAN TENAGA
,,,2819,INDUSTRI MESIN UNTUK KEPERLUAN UMUM LAINNYA
,,282,,INDUSTRI MESIN UNTUK KEPERLUAN KHUSUS
,,,2821,INDUSTRI MESIN PERTANIAN DAN KEHUTANAN
,,,2822,INDUSTRI MESIN DAN PERKAKAS MESIN UNTUK PENGERJAAN LOGAM
,,,2823,INDUSTRI MESIN METALURGI
,,,2824,INDUSTRI MESIN PENAMBANGAN
,,,2825,INDUSTRI MESIN PENGOLAHAN MAKANAN
,,,2826,INDUSTRI MESIN TEKSTIL
,,,2829,INDUSTRI MESIN KEPERLUAN KHUSUS LAINNYA
,29,,,INDUSTRI KENDARAAN BERMOTOR
,,291,,INDUSTRI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH
,,,2910,INDUSTRI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH
,,292,,INDUSTRI KAROSERI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH DAN INDUSTRI TRAILER DAN SEMI TRAILER
,,,2920,INDUSTRI KAROSERI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH DAN INDUSTRI TRAILER DAN SEMI TRAILER
,,293,,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH
,,,2930,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH
,30,,,INDUSTRI ALAT ANGKUTAN LAINNYA
,,301,,INDUSTRI PEMBUATAN KAPAL DAN PERAHU
,,,3011,INDUSTRI PEMBUATAN KAPAL
,,,3012,INDUSTRI PEMBUATAN KAPAL DAN PERAHU UNTUK TUJUAN WISATA ATAU REKREASI DAN OLAHRAGA
,,302,,INDUSTRI LOKOMOTIF DAN GERBONG KERETA
,,,3020,INDUSTRI LOKOMOTIF DAN GERBONG KERETA
,,303,,INDUSTRI PESAWAT TERBANG DAN PERLENGKAPANNYA
,,,3030,INDUSTRI PESAWAT TERBANG DAN PERLENGKAPANNYA
,,304,,INDUSTRI KENDARAAN PERANG
,,,3040,INDUSTRI KENDARAAN PERANG
,,309,,INDUSTRI ALAT ANGKUTAN LAINNYA YTDL
,,,3091,INDUSTRI SEPEDA MOTOR
,,,3092,INDUSTRI SEPEDA DAN KURSI RODA
,,,3099,INDUSTRI ALAT ANGKUTAN LAINNYA YTDL
,31,,,INDUSTRI FURNITUR
,,310,,INDUSTRI FURNITUR
,,,3100,INDUSTRI FURNITUR
,32,,,INDUSTRI PENGOLAHAN LAINNYA
,,321,,INDUSTRI BARANG PERHIASAN DAN BARANG BERHARGA
,,,3211,INDUSTRI PERHIASAN DAN BARANG SEJENIS
,,,3212,INDUSTRI PERHIASAN IMITASI DAN BARANG SEJENIS
,,322,,INDUSTRI ALAT MUSIK
,,,3220,INDUSTRI ALAT MUSIK
,,323,,INDUSTRI ALAT OLAHRAGA
,,,3230,INDUSTRI ALAT OLAHRAGA
,,324,,INDUSTRI ALAT PERMAINAN DAN MAINAN ANAK-ANAK
,,,3240,INDUSTRI ALAT PERMAINAN DAN MAINAN ANAK-ANAK
,,325,,INDUSTRI PERALATAN KEDOKTERAN DAN KEDOKTERAN GIGI SERTA PERLENGKAPANNYA
,,,3250,INDUSTRI PERALATAN KEDOKTERAN DAN KEDOKTERAN GIGI SERTA PERLENGKAPANNYA
,,329,,INDUSTRI PENGOLAHAN LAINNYA YTDL
,,,3290,INDUSTRI PENGOLAHAN LAINNYA YTDL
,33,,,REPARASI DAN PEMASANGAN MESIN DAN PERALATAN
,,331,,REPARASI PRODUK LOGAM PABRIKASI
,,,3311,REPARASI PRODUK LOGAM PABRIKASI
,,,3312,REPARASI MESIN
,,,3313,REPARASI PERALATAN ELEKTRONIK DAN OPTIK
,,,3314,REPARASI PERALATAN LISTRIK
,,,3315,REPARASI ALAT ANGKUTAN
,,,3319,REPARASI PERALATAN LAINNYA
,,332,,INSTALASI/PEMASANGAN MESIN DAN PERALATAN INDUSTRI
,,,3320,INSTALASI/PEMASANGAN MESIN DAN PERALATAN INDUSTRI
D,,,,PENGADAAN LISTRIK
,35,,,PENGADAAN LISTRIK
,,351,,KETENAGALISTRIKAN
,,,3511,PENYEDIAAN TENAGA LISTRIK
,,,3512,PENUNJANG TENAGA LISTRIK
,,352,,PENGADAAN DAN DISTRIBUSI GAS ALAM DAN BUATAN
,,,3520,PENGADAAN DAN DISTRIBUSI GAS ALAM DAN BUATAN
,,353,,PENGADAAN UAP/AIR PANAS
,,,3530,PENGADAAN UAP/AIR PANAS
E,,,,TREATMENT AIR
,36,,,TREATMENT AIR
,,360,,TREATMENT AIR
,,,3600,TREATMENT AIR
,37,,,TREATMENT AIR LIMBAH
,,370,,TREATMENT AIR LIMBAH
,,,3701,PENGUMPULAN AIR LIMBAH
,,,3702,TREATMENT DAN PEMBUANGAN AIR LIMBAH
,38,,,PENGUMPULAN
,,381,,PENGUMPULAN LIMBAH DAN SAMPAH
,,,3811,PENGUMPULAN LIMBAH DAN SAMPAH TIDAK BERBAHAYA
,,,3812,PENGUMPULAN LIMBAH BERBAHAYA
,,382,,TREATMENT DAN PEMBUANGAN SAMPAH
,,,3821,TREATMENT DAN PEMBUANGAN SAMPAH TIDAK BERBAHAYA
,,,3822,TREATMENT DAN PEMBUANGAN LIMBAH BERBAHAYA
,,383,,PEMULIHAN MATERIAL
,,,3830,PEMULIHAN MATERIAL
,39,,,AKTIVITAS REMEDIASI DAN PENGELOLAAN LIMBAH DAN SAMPAH LAINNYA 
,,390,,AKTIVITAS REMEDIASI DAN PENGELOLAAN LIMBAH DAN SAMPAH LAINNYA 
,,,3900,AKTIVITAS REMEDIASI DAN PENGELOLAAN LIMBAH DAN SAMPAH LAINNYA 
F,,,,KONSTRUKSI
,41,,,KONSTRUKSI GEDUNG
,,410,,KONSTRUKSI GEDUNG
,,,4101,KONSTRUKSI GEDUNG
,,,4102,JASA PEKERJAAN KONSTRUKSI PRAPABRIKASI BANGUNAN GEDUNG
,42,,,KONSTRUKSI BANGUNAN SIPIL
,,421,,KONSTRUKSI JALAN DAN JALAN REL
,,,4210,KONSTRUKSI JALAN DAN JALAN REL
,,422,,KONSTRUKSI JARINGAN IRIGASI
,,,4220,KONSTRUKSI JARINGAN IRIGASI
,,429,,KONSTRUKSI BANGUNAN SIPIL LAINNYA
,,,4291,KONSTRUKSI BANGUNAN SIPIL LAINNYA
,,,4292,KONSTRUKSI KHUSUS BANGUNAN SIPIL LAINNYA
